#airframe_info, log_version="1.03", log_content_version="1.01", Product="TXi", airframe_name="Piper PA-32-300", unit_software_part_number="006-B2014-2H", unit_software_version="3.50", system_software_part_number="006-B2014-2H", system_id="71D005BA55FCE", tail_number="N898CP", unit="GDU1", unit_cycle="1058", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees, ft Baro,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,     G,      G,   deg,   deg, volts, volts,  amps,  amps,     volts,     volts,     amps,     amps,   gals,   gals,   gals,      lbs,      lbs,      lbs,     gals,     gals,       lbs,       lbs,      gph,      psi,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,    deg F,    deg F,   deg F,   deg F,   deg F,   deg F,   deg F,     psi,         %,     rpm,       %,       rpm,      %,   deg C,      gph,      psi,   deg F,     psi,     Hg,    rpm,       %,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,  deg F/min,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,   deg F,     psi,         %,     rpm,       %,       rpm,      %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,    fsd,    fsd,     kt,   deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,    deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt,       ft, bool,   bool,       bool,     bool,        bool,     bool,    bool,         ft lbs,          #,            s,         Hg,         Hg,         deg,        bool,        bool,     gals,         lbs,         ft lbs,       bool,     bool,        bool,     bool,    bool,   deg C,     G,            bool,            bool,         bool,         bool,            bool,            bool, crc16
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,    AltB, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll, LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2, bus1volts, bus2volts, alt1amps, alt2amps,  FQtyL,  FQtyC,  FQtyR, FQtyLlbs, FQtyClbs, FQtyRlbs, FQtyAux1, FQtyAux2, FQtyA1lbs, FQtyA2lbs, E1 FFlow, E1 FPres, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 CHT1, E1 CHT2, E1 CHT3, E1 CHT4, E1 CHT5, E1 CHT6, E1 CHT CLD, E1 EGT1, E1 EGT2, E1 EGT3, E1 EGT4, E1 EGT5, E1 EGT6, E1 CarbT, E2 CarbT, E1 TIT1, E2 TIT1,  E1 IAT,  E1 CDT, E1 PEGT, E1 Torq, E1 Torq %,   E1 NP, E1 NP %, E1 NG RPM,  E1 NG,  E1 ITT, E2 FFlow, E2 FPres, E2 OilT, E2 OilP, E2 MAP, E2 RPM, E2 %Pwr, E2 CHT1, E2 CHT2, E2 CHT3, E2 CHT4, E2 CHT5, E2 CHT6, E2 CHT CLD, E2 EGT1, E2 EGT2, E2 EGT3, E2 EGT4, E2 EGT5, E2 EGT6,  E2 IAT,  E2 CDT, E2 PEGT, E2 Torq, E2 Torq %,   E2 NP, E2 NP %, E2 NG RPM,  E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,   HCDI,   VCDI, WndSpd, WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PitchC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas, AltPress,  WoW, OnGrnd, E1 InrtSep, E1 Bleed, E1 Ignition, E1 Start, E1 Beta, E1 Torq ft lbs,     LogIdx,      SysTime, Vac1 Press, Vac2 Press, Rudder Trim, Fuel Slct L, Fuel Slct R, FQtyAuxC, FQtyAuxClbs, E2 Torq ft lbs, E2 InrtSep, E2 Bleed, E2 Ignition, E2 Start, E2 Beta, EIS OAT, LonAc, E1 Prop Feather, E2 Prop Feather, E1 Cndtn Lvr, E2 Cndtn Lvr, E1 SRL Computer, E2 SRL Computer, LogCheck
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,      ,       ,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.5,          ,      0.1,         ,  18.30,       ,   0.80,   109.80,         ,     4.80,    14.50,    17.00,     87.00,    102.00,     0.00,    -0.38,   85.40,    0.02,  30.09,    0.0,        ,   84.95,   84.95,   85.03,   83.92,   85.43,   84.10,           ,   86.83,   84.56,   87.86,   84.66,   88.17,   84.97,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,           ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,    , GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,       ,           ,         ,            ,         ,        ,               ,          0,          8.9,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 7627
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,      ,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.5,          ,      0.1,         ,  17.90,       ,   0.30,   107.40,         ,     1.80,    14.20,    17.00,     85.20,    102.00,     0.00,    -0.38,   85.40,    0.01,  30.09,    0.0,        ,   84.94,   84.94,   85.03,   83.91,   85.43,   84.09,           ,   86.82,   84.56,   87.85,   84.67,   88.16,   84.95,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,           ,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          1,         11.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 3F0B
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,      ,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.5,          ,      0.1,         ,  17.80,       ,   0.20,   106.80,         ,     1.20,    14.20,    17.00,     85.20,    102.00,     0.00,    -0.38,   85.40,    0.01,  30.09,    0.0,        ,   84.95,   84.93,   85.02,   83.91,   85.43,   84.09,          0,   86.82,   84.55,   87.85,   84.66,   88.16,   84.95,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          2,         12.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , D247
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.70,       ,   0.10,   106.20,         ,     0.60,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.41,    0.02,  30.08,    0.0,        ,   84.94,   84.94,   85.02,   83.91,   85.43,   84.09,          0,   86.82,   84.55,   87.85,   84.66,   88.15,   84.95,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          3,         13.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 1F3E
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.5,          ,      0.1,         ,  17.60,       ,   0.10,   105.60,         ,     0.60,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.40,    0.01,  30.08,    0.0,        ,   84.94,   84.94,   85.02,   83.91,   85.43,   84.09,          0,   86.82,   84.54,   87.85,   84.65,   88.15,   84.95,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          4,         14.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , C1CC
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,        ,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.60,       ,   0.00,   105.60,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.40,    0.01,  30.09,    0.0,        ,   84.94,   84.92,   85.02,   83.90,   85.42,   84.09,         -0,   86.80,   84.54,   87.84,   84.65,   88.15,   84.93,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          5,         15.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 7CFF
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -1.40,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.60,       ,   0.00,   105.60,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.40,    0.02,  30.09,    0.0,        ,   84.93,   84.94,   85.02,   83.91,   85.42,   84.08,         -0,   86.81,   84.54,   87.83,   84.64,   88.15,   84.94,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          6,         16.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 3703
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -2.23,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.60,       ,   0.00,   105.60,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.40,    0.02,  30.09,    0.0,        ,   84.94,   84.93,   85.01,   83.90,   85.41,   84.09,         -0,   86.80,   84.54,   87.84,   84.64,   88.14,   84.94,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          7,         17.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 0322
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -1.23,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.40,    0.02,  30.09,    0.0,        ,   84.93,   84.92,   85.01,   83.90,   85.41,   84.09,         -0,   86.79,   84.54,   87.82,   84.64,   88.15,   84.94,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          8,         18.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 5991
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -0.54,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.39,    0.02,  30.09,    0.0,        ,   84.93,   84.93,   85.01,   83.89,   85.41,   84.07,         -0,   86.79,   84.54,   87.82,   84.63,   88.14,   84.94,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,          9,         19.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 907D
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -0.22,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.39,    0.01,  30.08,    0.0,        ,   84.93,   84.93,   85.01,   83.89,   85.41,   84.09,         -0,   86.79,   84.54,   87.81,   84.64,   88.14,   84.93,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,         10,         20.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 74E0
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.8,   0.00,       ,   -0.08,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.39,   85.40,    0.02,  30.08,    0.0,        ,   84.92,   84.92,   85.01,   83.88,   85.42,   84.08,         -0,   86.79,   84.53,   87.81,   84.63,   88.13,   84.93,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,         11,         21.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 79C8
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -0.03,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.39,   85.40,    0.02,  30.08,    0.0,        ,   84.92,   84.92,   85.02,   83.89,   85.41,   84.07,         -0,   86.78,   84.53,   87.81,   84.63,   88.13,   84.92,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,         12,         22.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 9937
          ,         ,        ,       ,             ,             ,   -18.0, 29.92,        ,  31.5,   0.00,       ,   -0.01,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.39,    0.02,  30.09,    0.0,        ,   84.92,   84.92,   85.01,   83.89,   85.41,   84.07,         -0,   86.78,   84.52,   87.81,   84.63,   88.12,   84.92,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -18.0,     ,      1,           ,         ,            ,         ,        ,               ,         13,         23.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 757B
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.8,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.39,   85.38,    0.02,  30.09,    0.0,        ,   84.92,   84.91,   85.00,   83.89,   85.41,   84.07,         -0,   86.77,   84.53,   87.80,   84.62,   88.12,   84.92,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         14,         24.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 9FB9
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.8,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.39,    0.02,  30.08,    0.0,        ,   84.92,   84.90,   85.00,   83.87,   85.41,   84.07,         -0,   86.77,   84.52,   87.79,   84.63,   88.12,   84.91,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         15,         25.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 7CB9
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.8,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.39,   85.39,    0.02,  30.09,    0.0,        ,   84.92,   84.92,   85.00,   83.88,   85.41,   84.07,         -0,   86.76,   84.52,   87.79,   84.62,   88.13,   84.91,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         16,         26.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , CE3B
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.5,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.39,   85.39,    0.02,  30.09,    0.0,        ,   84.91,   84.90,   84.99,   83.88,   85.41,   84.07,         -0,   86.76,   84.51,   87.79,   84.62,   88.12,   84.91,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         17,         27.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 9F7E
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.5,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.39,    0.02,  30.09,    0.0,        ,   84.91,   84.91,   84.99,   83.87,   85.40,   84.07,         -0,   86.76,   84.52,   87.78,   84.61,   88.11,   84.90,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         18,         28.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 4695
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.5,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.38,    0.02,  30.09,    0.0,        ,   84.91,   84.90,   84.99,   83.86,   85.40,   84.07,         -0,   86.76,   84.51,   87.79,   84.60,   88.11,   84.90,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         19,         29.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 5D76
          ,         ,        ,       ,             ,             ,   -17.0, 29.92,        ,  31.5,   0.00,       ,   -0.00,       ,       ,      ,       ,      ,      ,      ,      ,      ,      ,      12.4,          ,      0.1,         ,  17.50,       ,   0.00,   105.00,         ,     0.00,    14.10,    17.00,     84.60,    102.00,     0.00,    -0.38,   85.38,    0.02,  30.08,    0.0,        ,   84.90,   84.91,   84.99,   83.87,   85.40,   84.06,         -0,   86.75,   84.51,   87.77,   84.60,   88.11,   84.90,         ,         ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,         ,         ,        ,        ,       ,       ,        ,        ,        ,        ,        ,        ,        ,          0,        ,        ,        ,        ,        ,        ,        ,        ,        ,        ,          ,        ,        ,          ,       ,        ,        ,   0, GPS1,  150.0,       ,       ,       ,       ,       ,      ,       ,       ,    0.0,       ,      ,       ,      ,       ,      , NoSoln,    0,     0,       ,      ,       ,    -17.0,     ,      1,           ,         ,            ,         ,        ,               ,         20,         30.3,           ,           ,            ,            ,            ,         ,            ,               ,           ,         ,            ,         ,        ,        ,      ,                ,                ,             ,             ,                ,                , 4243
